        1.5.0.0	    1.5.255.255	日本,港区?
  120.138.128.0	120.138.191.255	日本,愛知県名古屋市?
    133.129.0.0	133.129.255.255	日本,株式会社大林組?
    133.131.0.0	133.132.255.255	日本,?
    133.142.0.0	133.142.255.255	日本,株式会社三菱?
    133.168.0.0	133.168.255.255	日本,パケット?レディオ?ユーザーズ?グループ
    133.196.0.0	133.199.255.255	日本,株式会社?
    133.255.0.0	133.255.255.255	日本,?
   186.28.225.0	 186.28.225.255	哥伦比亚,Nari?o大学
  196.200.144.0	196.200.144.255	摩洛哥,University Moulay Ismail Mekn?s
  200.143.192.0	200.143.255.255	巴西,Associa??o Rede Nacional de Ensino e Pesquisa
  218.5.136.107	  218.5.136.107	福建省泉州市石狮市,新?空网吧
    218.6.241.9	    218.6.241.9	四川省成都市,世?网吧
  218.11.89.112	  218.11.89.112	河北省廊坊市,万庄?尚网吧
  218.11.130.95	  218.11.130.95	河北省张家口市桥东区,沙?子连易网吧
  218.13.32.104	  218.13.32.104	广东省佛山市顺德区,北?莘村小学
  218.13.32.207	  218.13.32.207	广东省佛山市顺德区,北?三桂小学
  218.13.32.208	  218.13.32.208	广东省佛山市顺德区,北?莘中附小
    218.13.33.2	    218.13.33.2	广东省佛山市顺德区,北?教育组
   218.13.33.18	   218.13.33.18	广东省佛山市顺德区,北?中心小学
   218.15.24.34	   218.15.24.34	广东省茂名市,信宜市?速网吧
 218.15.154.134	 218.15.154.134	广东省梅州市,蕉?三圳源缘网吧
  218.16.101.55	  218.16.101.55	广东省东莞市,高?中学
 218.20.115.102	 218.20.115.102	广东省广州市海珠区,南洲路西?村银色之光网吧
   218.22.87.30	   218.22.87.30	安徽省芜湖市芜湖县,湾?新东方网吧
   218.22.87.58	   218.22.87.58	安徽省芜湖市,湾?镇第一小学(实验小学)
   218.22.87.62	   218.22.87.62	安徽省芜湖市芜湖县,湾?镇第二小学
  218.23.32.116	  218.23.32.116	安徽省合肥市巢湖市,?炀镇晴天网吧
  218.23.32.117	  218.23.32.117	安徽省合肥市巢湖市,?炀中学
  218.23.32.118	  218.23.32.118	安徽省合肥市巢湖市,?炀镇北街网吧
 218.24.147.190	 218.24.147.190	辽宁省大连市金州区,?隆网吧
   218.26.77.47	   218.26.77.47	山西省运城市,介休市日?网吧
  218.26.176.34	  218.26.176.34	山西省太原市,后北屯御?网吧
  218.27.91.245	  218.27.91.245	吉林省长春市,雨??网苑
  218.27.91.246	  218.27.91.246	吉林省长春市绿园区,新隆小区5栋106雨??网苑
  218.62.18.142	  218.62.18.142	吉林省长春市榆树,?宇网吧
  218.73.165.42	  218.73.165.42	浙江省温州市平阳县,第二人民?院
   218.75.13.11	   218.75.13.11	浙江省台州市仙居县,一?林网吧(仙药路2号/仙琚制药厂斜对面)
  218.75.19.100	  218.75.19.103	浙江省温州市瑞安市,正大网吧(安阳镇后?中路)
  218.75.19.104	  218.75.19.107	浙江省温州市瑞安市,联盟网吧(安阳镇后?中路)
  218.75.19.232	  218.75.19.235	浙江省温州市瑞安市,飞马网吧(仙降镇翁?村)
  218.75.19.244	  218.75.19.247	浙江省温州市瑞安市,新潮网吧(安阳镇后?中路)
  218.75.113.98	  218.75.113.98	浙江省绍兴市诸暨市,?浦沸蓝飞跃网吧
 218.75.150.136	 218.75.150.136	湖南省常德市澧县,?市新世纪网吧
  218.77.21.198	  218.77.21.198	湖南省怀化市靖州县,海天?吧
  218.87.89.238	  218.87.89.238	江西省九江市,三?街胜利网吧
  218.87.186.56	  218.87.186.56	江西省鹰潭市,中童镇兴?网吧
 218.88.102.103	 218.88.102.103	四川省成都市,马鞍路?歆网络沙龙
  218.89.191.75	  218.89.191.75	四川省资阳市安岳县,?草网吧
  218.92.17.118	  218.92.17.118	江苏省连云港市新浦区,晓?网吧
    218.92.35.2	    218.92.35.2	江苏省连云港市新浦区,东?网吧
   218.93.20.86	   218.93.20.86	江苏省常州市,大学城?寅网吧
  218.93.194.50	  218.93.194.50	江苏省宿迁市沭阳县,??街娱乐中心
 221.193.208.52	 221.193.208.52	河北省邯郸市大名县,大名镇蔚蓝网吧(元城路中段路西?)
  221.195.41.67	  221.195.41.67	河北省沧州市黄骅市,航?
221.199.154.100	221.199.154.100	内蒙古赤峰市,赤峰学院机场路?虎网吧
 221.203.79.109	 221.203.79.109	辽宁省抚顺市,雨?网吧
 221.203.111.12	 221.203.111.12	辽宁省本溪市平山区,佰?网络世界)
 221.224.55.234	 221.224.55.234	江苏省苏州市,浪淘沙连锁网吧鑫轮?直店
  221.233.1.137	  221.233.1.137	湖北省荆州市,??网吧
  221.233.1.167	  221.233.1.167	湖北省荆州市,?凰网吧
221.234.242.124	221.234.242.124	湖北省武汉市硚口区,圆方网吧(?口路)
221.236.163.158	221.236.163.158	四川省内江市,?木镇顺发网吧
221.236.163.194	221.236.163.194	四川省内江市,?木镇世通网吧
  221.239.1.203	  221.239.1.203	天津市,依?网吧
   222.93.154.4	   222.93.154.4	江苏省苏州市,?直镇大厍村桥东无名网吧
222.170.192.213	222.170.192.213	黑龙江省双鸭山市宝清县,新?网吧
  222.174.183.2	  222.174.183.2	山东省临沂市沂水县,??网吧
  222.175.52.10	  222.175.52.10	山东省枣庄市,薛城区?伟网苑
  222.203.146.0	222.203.147.255	广东省广州市天河区,长?小学
